product_id,title,current_category,suggested_category,risk_level,source,decision_reason
gid://shopify/Product/10201675432242,"48.8"" Modern Cat Tower, Wood Cat Tree Tower for Indoor Cats, Cat Treewith Sisal-Covered Scratching Posts and Top Perch, Cat Condo with Acrylic Hammock for Small Large Cats",Sporting Goods > Outdoor Recreation > Hunting & Shooting > Hunting > Tree Stands,Sporting Goods > Outdoor Recreation > Hunting & Shooting > Hunting > Tree Stands,high,deepseek,产品是猫爬架，但当前分类是狩猎树架，完全不匹配。候选分类中无宠物相关，建议重新分类。
gid://shopify/Product/10213138334002,"Outdoor Acacia Wood Club Chair with Diamond Rope Weave & Cushions, Teak Finish",,Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,high,deepseek,产品是户外椅子，候选类别是庭院加热器，完全不匹配。
gid://shopify/Product/10213140562226,Softside Luggage Expandable 3 Piece Set Suitcase Upright Spinner Softshell Lightweight Luggage Travel Set-22/26/30 inches,,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories > Musical Keyboard Accessories > Musical Keyboard Bags & Cases > Musical Keyboard Soft Cases,medium,deepseek,产品是软壳行李箱套装，但候选类别中无直接匹配的行李箱类别。最接近的是乐器键盘软包类别，因其包含软壳、轮子、拉链等属性。
gid://shopify/Product/10213141578034,Softside Luggage Expandable 3 Piece Set Suitcase with Duffel Bag Upright Spinner Softshell Lightweight Luggage Travel Set-22/26/30 IN,,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories > Musical Keyboard Accessories > Musical Keyboard Bags & Cases > Musical Keyboard Soft Cases,medium,deepseek,产品标题和描述明确提到行李箱套装，包含软壳、扩展功能、万向轮等特征，与候选类别中的软键盘包类别有部分属性重叠（如轮子配置、锁类型），但并非完全匹配。建议人工审核确认。
gid://shopify/Product/10213156880690,N717P406572E [Not For Sale],Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,Home & Garden > Household Appliances > Climate Control Appliances > Patio Heaters,high,deepseek,产品标题和描述明确为户外藤编沙发套装，属于家具类别，但当前分类为庭院加热器，明显不匹配。候选类别中无直接匹配的户外家具套装，建议重新选择更合适的类别。
gid://shopify/Product/10213163106610,"TOPMAX 73.6"" Tall Farmhouse Kitchen Pantry Cabinet with 8 Shelves, 2 Drawers, 3 Pull-Out Trays, 4 Doors and Side Cabinets for Kitchen & Dining Room, White",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213165170994,"Professional Dancing Pole Kit, Heavy-Duty Steel Dance Pole, Height Adjustable Removable Spinning Static Dual Mode, Portable Dance Equipment for Home, Studio, Gym and Stage Performance",Hardware > Tools > Nailers & Staplers > Heavy Duty Staplers,Hardware > Tools > Nailers & Staplers > Heavy Duty Staplers,high,deepseek,产品是舞蹈钢管，与当前类别（重型订书机）完全不匹配。候选类别均为订书机相关，无合适类别。建议人工审核或添加新类别。
gid://shopify/Product/10213165334834,"Crawl Spine Stretch Trainer, Spine Twist and Stretch Trainer, Core Training Equipment for Home Gym Office Daily Workout",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213279269170,"Large Outdoor Catio for 6-10 Cats, Pine Wood Cat Cage Outdoor with Weatherproof Roof, 6 Platforms, Climbing Ramp, 1 Resting Box and Cat Scratching Post, Outdoor Cat House with Storage Shelves, Grey",Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens,Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens,high,deepseek,产品是大型户外猫笼，与当前分类'笔'完全不匹配。候选分类中无合适选项，建议人工重新分类。
gid://shopify/Product/10213320294706,"Set of 2 Curved Arched Cane Back Dining Chairs,Mid Century Farmhouse Side Chairs,Distressed Solid Wood Frame,Chenille Cushion with S-Spring and Sponge,Armless Accent Chairs for Kitchen,Beige,SW1899BG",,,high,deepseek,没有候选类别，无法匹配。
gid://shopify/Product/10213320491314,"Set of 2 Curved Arched Cane Back Dining Chairs,Mid Century Farmhouse Side Chairs,Distressed Solid Wood Frame,Chenille Cushion with S-Spring and Sponge,Armless Accent Chairs for Kitchen,Green,SW1899OL",,,high,deepseek,没有候选类别，无法匹配。
